sample_id,tissue,stage
MB44_I,midbrain,Stage44
MB44_II,midbrain,Stage44
MB44_III,midbrain,Stage44
FB46_I,forebrain,Stage46
FB46_II,forebrain,Stage46
FB46_III,forebrain,Stage46
HB46_I,hindbrain,Stage46
HB46_II,hindbrain,Stage46
HB46_III,hindbrain,Stage46
MB46_I,midbrain,Stage46
MB46_II,midbrain,Stage46
MB46_III,midbrain,Stage46
SC46_I,spinal_cord,Stage46
SC46_II,spinal_cord,Stage46
SC46_III,spinal_cord,Stage46
FB49_I,forebrain,Stage49
FB49_II,forebrain,Stage49
HB49_I,hindbrain,Stage49
HB49_II,hindbrain,Stage49
MB49_I,midbrain,Stage49
MB49_II,midbrain,Stage49
SC49_I,spinal_cord,Stage49
SC49_II,spinal_cord,Stage49
MB55_I,midbrain,Stage55
MB55_II,midbrain,Stage55
MB55_III,midbrain,Stage55
MB61_I,midbrain,Stage61
MB61_II,midbrain,Stage61
MB61_III,midbrain,Stage61
MB66_I,midbrain,Stage66
